company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
DIVISLAB,0.0,34.0,1377,52.0,1819,423.29999999999995,Strong
DIVISLAB,0.0,41.0,1984,75.0,2666,607.4999999999999,Strong
DIVISLAB,0.0,43.0,2960,112.0,3684,900.9,Strong
DIVISLAB,0.0,31.0,1824,69.0,2369,556.4999999999999,Strong
DIVISLAB,0.0,28.0,1600,60.0,2163,488.4,Strong
DIVISLAB,0.0,30.0,1836,69.0,2528,559.8,Strong
DLF,0.0,34.0,667,4.0,802,210.29999999999998,Strong
DLF,0.0,30.0,590,4.0,500,186.0,Strong
DLF,0.0,39.0,507,3.0,668,163.79999999999998,Strong
DLF,0.0,40.0,305,2.0,1026,103.5,Strong
DLF,0.0,42.0,708,4.0,1030,225.0,Strong
DLF,0.0,35.0,4477,25.0,8615,1353.6,Strong
DLF,0.0,26.0,1314,6.0,646,402.0,Strong
DLF,0.0,19.0,-590,-2.0,653,-171.3,Weak
DLF,0.0,27.0,1083,4.0,840,333.0,Strong
DLF,0.0,30.0,1500,6.0,1165,459.0,Strong
DLF,0.0,30.0,2034,8.0,1502,619.1999999999999,Strong
DLF,0.0,33.0,2724,11.0,2151,827.0999999999999,Strong
DLF,0.0,27.0,4004,16.0,2010,1209.3,Strong
DMART,0.0,6.0,94,2.0,141,30.0,Weak
DMART,0.0,7.0,161,3.0,245,50.4,Moderate
DMART,0.0,7.0,212,4.0,323,65.69999999999999,Moderate
DMART,0.0,8.0,320,6.0,492,98.4,Moderate
DMART,0.0,8.0,479,8.0,747,146.1,Strong
DMART,0.0,9.0,806,13.0,1222,244.49999999999997,Strong
DMART,0.0,8.0,902,14.0,1422,272.99999999999994,Strong
DMART,0.0,9.0,1301,20.0,1745,393.0,Strong
DMART,0.0,7.0,1099,17.0,1483,331.8,Strong
DMART,0.0,8.0,1492,23.0,2064,449.99999999999994,Strong
DMART,0.0,8.0,2378,37.0,3060,715.8,Strong
DMART,0.0,8.0,2536,39.0,3461,763.1999999999999,Strong
DMART,0.0,8.0,2720,42.0,3716,818.4,Strong
DRREDDY,0.0,23.0,1527,18.0,2165,464.99999999999994,Strong
